Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/search?q=locust/posts,12,0,140.0,145.76774166622877,129.90619999618502,199.3889000004856,84546.91666666667,0.3353033263225944,0.0,140,140,150,150,150,200,200,200,200,200,200
,Aggregated,12,0,140.0,145.76774166622877,129.90619999618502,199.3889000004856,84546.91666666667,0.3353033263225944,0.0,140,140,150,150,150,200,200,200,200,200,200
