Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/posts/posts,4,4,121.7121000008774,256.9426750014827,121.7121000008774,656.0429999954067,2.0,0.3296151564201917,0.3296151564201917,130,130,660,660,660,660,660,660,660,660,660
,Aggregated,4,4,121.7121000008774,256.9426750014827,121.7121000008774,656.0429999954067,2.0,0.3296151564201917,0.3296151564201917,130,130,660,660,660,660,660,660,660,660,660
